2Theta,Ortho,Tetrag
29.77253028,2230.825721	,1440.010316
29.79853028,2132.169233	,1436.822332
29.82453028,1922.778462	,1423.435534
29.85053028,1792.898955	,1407.338143
29.87653028,1702.192769	,1409.850611
29.90253028,1612.053182	,1409.113224
29.92853028,1482.627392	,1388.82847
29.95453028,1438.947722	,1397.28639
29.98053028,1418.064712	,1386.538498
30.00653028,1401.919826	,1425.430489
30.03253028,1444.612274	,1445.805088
30.05853028,1386.734959	,1425.060655
30.08453028,1377.86319	,1367.322836
30.11053028,1344.137089	,1395.069334
30.13653028,1296.821289	,1394.712991
30.16253028,1344.561045	,1410.254816
30.18853028,1381.266668	,1428.593861
30.21453028,1363.088396	,1408.492309
30.24053028,1328.8509	,1396.607247
30.26653028,1375.571621	,1404.322414
30.29253028,1288.512169	,1387.838378
30.31853028,1295.667157	,1394.346572
30.34453028,1351.80197	,1402.780192
30.37053028,1371.970697	,1371.34866
30.39653028,1363.7988	,1339.343818
30.42253028,1396.31333	,1407.526721
30.44853028,1388.57418	,1381.440215
30.47453028,1367.855286	,1390.243173
30.50053028,1357.354901	,1437.086434
30.52653028,1360.78061	,1514.760508
30.55253028,1352.958403	,1542.560975
30.57853028,1287.155208	,1478.734188
30.60453028,1369.885316	,1694.276538
30.63053028,1309.167235	,1768.136204
30.65653028,1391.688319	,1959.007866
30.68253028,1380.043665	,2107.544944
30.70853028,1382.723914	,2317.348424
30.73453028,1499.553087	,2962.879111
30.76053028,1496.062489	,3760.595034
30.78653028,1457.9019	,5035.458034
30.81253028,1581.783633	,6335.981853
30.83853028,1666.426156	,6379.045698
30.86453028,1829.175816	,5481.854223
30.89053028,2092.072628	,4691.422773
30.91653028,2481.899733	,4074.358155
30.94253028,2991.871093	,3142.653007
30.96853028,3555.158769	,2379.491086
30.99453028,4062.925971	,1917.529495
31.02053028,4162.972876	,1712.314255
31.04653028,4008.369484	,1659.528875
31.07253028,4190.879031	,1545.642534
31.09853028,4345.595983	,1613.962398
31.12453028,4275.275985	,1497.391896
31.15053028,3883.487697	,1401.081486
31.17653028,3446.553251	,1440.024344
31.20253028,2965.08038	,1488.658406
31.22853028,2647.826497	,1425.860971
31.25453028,2147.450677	,1462.409413
31.28053028,1858.364347	,1449.197592
31.30653028,1669.289208	,1456.026966
31.33253028,1580.578094	,1363.143308
31.35853028,1537.932961	,1349.186993
31.38453028,1456.362151	,1408.683541
31.41053028,1390.623927	,1388.580058
31.43653028,1370.905972	,1359.698193
31.46253028,1349.591098	,1398.600809
31.48853028,1375.346542	,1367.777992
31.51453028,1334.362993	,1375.184786
31.54053028,1352.373003	,1327.722093
31.56653028,1336.356422	,1373.034034
31.59253028,1320.67902	,1355.453703
31.61853028,1275.493735	,1295.707819
31.64453028,1277.998295	,1361.174998
31.67053028,1300.966708	,1358.663536
31.69653028,1290.891685	,1312.482551
31.72253028,1274.56933	,1346.888422
31.74853028,1341.387612	,1349.386794
31.77453028,1307.69797	,1339.513667
31.80053028,1277.435449	,1371.747616
31.82653028,1324.92328	,1356.774929
31.85253028,1294.397719	,1332.009542
31.87853028,1236.075394	,1268.681555
31.90453028,1275.958692	,1287.822429
31.93053028,1333.524318	,1333.738333
31.95653028,1324.843819	,1351.012782
31.98253028,1283.57497	,1400.568822
32.00853028,1282.859219	,1431.036027
32.03453028,1295.997274	,1380.91381
32.06053028,1282.626931	,1342.192615
32.08653028,1291.402142	,1317.197959
32.11253028,1285.395794	,1286.084823
32.13853028,1288.603494	,1317.767769
32.16453028,1345.476342	,1310.64012
32.19053028,1395.195646	,1305.284576
32.21653028,1424.167466	,1345.501599
32.24253028,1450.616503	,1347.471211
32.26853028,1534.875452	,1360.588466
32.29453028,1675.293763	,1377.915951
32.32053028,1802.613775	,1350.886567
32.34653028,1834.0293	,1355.045299
32.37253028,1782.883804	,1351.845198
32.39853028,1692.910992	,1381.008651
32.42453028,1597.601506	,1382.092383
32.45053028,1516.973138	,1346.604983
32.47653028,1436.745174	,1383.755379
32.50253028,1381.89779	,1345.132238
32.52853028,1341.450739	,1337.083658
32.55453028,1306.445333	,1305.222721
32.58053028,1254.036533	,1329.234609
32.60653028,1266.028548	,1313.378469
32.63253028,1320.192781	,1322.646802
32.65853028,1297.805264	,1322.045057
32.68453028,1270.586044	,1328.484325
32.71053028,1251.24454	,1242.405268
32.73653028,1319.495048	,1233.095825
32.76253028,1262.292801	,1323.492849
32.78853028,1233.570753	,1265.404373
32.81453028,1283.285241	,1294.497345
32.84053028,1255.9092	,1317.169517
32.86653028,1257.36996	,1321.826037
32.89253028,1215.040693	,1322.571126
32.91853028,1240.644906	,1318.720922
32.94453028,1245.627814	,1265.312295
32.97053028,1230.564868	,1286.667577
32.99653028,1243.515393	,1269.997754
33.02253028,1178.294547	,1239.180815
